hour,pm25_mean
22,144.90479854924263
13,142.50146761970282
11,140.3206770717384
0,138.1241934246995
10,136.19179859880822
19,134.43749232889002
7,133.1474192162411
12,131.9506341433312
8,131.80058449035482
3,130.69905969598676
23,130.48938443576225
14,129.0839326772799
15,129.0502111276514
9,127.53284331988225
1,126.90474851805608
6,126.43599459206519
21,126.2362647629032
16,126.15062859714331
20,125.58501324193904
4,125.22571520158738
5,124.4223123000625
17,122.48951100198178
18,119.65686844086913
2,116.56923134959194
